answerKey,id,choices,stem,choice_0,choice_1,choice_2,choice_3,choice_4,label
A,15d82a537680272cc12b3667b084c670,"[{'label': 'A', 'text': 'crying'}, {'label': 'B', 'text': 'farting'}, {'label': 'C', 'text': 'skateboarding'}, {'label': 'D', 'text': 'entertainment'}, {'label': 'E', 'text': 'falling asleep'}]","James is watching a film.  In the end, when the dog is shot, he finds himself doing what?",crying,farting,skateboarding,entertainment,falling asleep,0
C,edcb5e42bb68d551e821b428a8ebf49b,"[{'label': 'A', 'text': 'high school band'}, {'label': 'B', 'text': 'drum kit'}, {'label': 'C', 'text': 'marching band'}, {'label': 'D', 'text': 'musical band'}, {'label': 'E', 'text': 'orchestra'}]",Which larger group contains snare drum players and is usually done at a sports game?,high school band,drum kit,marching band,musical band,orchestra,2
B,2d7b5e73bc92b4087dcae2da94b0470e,"[{'label': 'A', 'text': 'story book'}, {'label': 'B', 'text': 'newspaper'}, {'label': 'C', 'text': 'book or magazine'}, {'label': 'D', 'text': 'past'}, {'label': 'E', 'text': 'novel'}]",What's black and white and contains many a story?,story book,newspaper,book or magazine,past,novel,1
A,ba3842c6a644c3f5e82bcf7510ba0b1c,"[{'label': 'A', 'text': 'freezer'}, {'label': 'B', 'text': 'movie'}, {'label': 'C', 'text': 'served cold'}, {'label': 'D', 'text': 'under the counter'}, {'label': 'E', 'text': 'party'}]",Where is the best place to keep ice crean?,freezer,movie,served cold,under the counter,party,0
B,0a83d7c8d38cce3f6419fbddabc79de0,"[{'label': 'A', 'text': 'universe'}, {'label': 'B', 'text': ""god's creation""}, {'label': 'C', 'text': 'one moon'}, {'label': 'D', 'text': 'milky way'}, {'label': 'E', 'text': 'flat'}]","Many people gather together on Sundays, they tend to believe that earth is what?",universe,god's creation,one moon,milky way,flat,1
E,86ebd3dab56e7656f14982638117a36e,"[{'label': 'A', 'text': 'plate'}, {'label': 'B', 'text': 'grocery store'}, {'label': 'C', 'text': 'supermarket'}, {'label': 'D', 'text': 'refrigerator'}, {'label': 'E', 'text': 'freezer'}]","Wanting to avoid the cabbage spoiling, where did he put it?",plate,grocery store,supermarket,refrigerator,freezer,4
E,748842cda8d355f5511d23d7f7a7bb67,"[{'label': 'A', 'text': 'jar'}, {'label': 'B', 'text': 'sandwich'}, {'label': 'C', 'text': 'supermarket'}, {'label': 'D', 'text': 'container'}, {'label': 'E', 'text': 'pantry'}]",Where can peanut butter be stored?,jar,sandwich,supermarket,container,pantry,4
D,777632e549ca0d7dd589a46b0e79e3f7,"[{'label': 'A', 'text': 'livingroom'}, {'label': 'B', 'text': 'living room'}, {'label': 'C', 'text': 'on their bed'}, {'label': 'D', 'text': 'spare room'}, {'label': 'E', 'text': 'sitting room'}]","A person is putting a sofabed in a house for a guest, where are they likely to place it?",livingroom,living room,on their bed,spare room,sitting room,3
D,580ed216a1bba752710e198f1259ead1,"[{'label': 'A', 'text': 'music store'}, {'label': 'B', 'text': 'band practice'}, {'label': 'C', 'text': 'under bed'}, {'label': 'D', 'text': 'music room'}, {'label': 'E', 'text': 'symphony'}]",Where is a good place to sore a wind instrument in you home?,music store,band practice,under bed,music room,symphony,3
D,688772598f69066794067c48197a9ab2,"[{'label': 'A', 'text': 'nose'}, {'label': 'B', 'text': 'fists'}, {'label': 'C', 'text': 'hostility'}, {'label': 'D', 'text': 'hands'}, {'label': 'E', 'text': 'anger'}]",John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?,nose,fists,hostility,hands,anger,3
E,a7be27a64aad72c029f05a2c7fc6d55f,"[{'label': 'A', 'text': 'competition'}, {'label': 'B', 'text': 'tennis court'}, {'label': 'C', 'text': 'tennis racket'}, {'label': 'D', 'text': 'legs'}, {'label': 'E', 'text': 'skill'}]",What is required to be good at playing tennis?,competition,tennis court,tennis racket,legs,skill,4
D,e17101d6496a78f694583e9d05d3129e,"[{'label': 'A', 'text': 'restroom'}, {'label': 'B', 'text': 'kitchen'}, {'label': 'C', 'text': 'shelf'}, {'label': 'D', 'text': ""neighbor's house""}, {'label': 'E', 'text': 'military base'}]",There was no food in Danny place.  He had to go across the road and ask for some. Where might he have asked for food?,restroom,kitchen,shelf,neighbor's house,military base,3
A,dd1d03ed6b10bccb6eeb99d78e834ca0,"[{'label': 'A', 'text': 'embarrassment'}, {'label': 'B', 'text': 'jail time'}, {'label': 'C', 'text': 'go to jail'}, {'label': 'D', 'text': 'indictment'}, {'label': 'E', 'text': 'penalty'}]",James was caught committing perjury in a mock trial for his law class. Everyone laughed at his inept lies.  He couldn't stand the what?,embarrassment,jail time,go to jail,indictment,penalty,0
D,b5f99958c031bfdfe2606ee5cd058e2a,"[{'label': 'A', 'text': 'music store'}, {'label': 'B', 'text': 'rock band'}, {'label': 'C', 'text': 'school'}, {'label': 'D', 'text': 'concert'}, {'label': 'E', 'text': 'string quartet'}]",Where do you hear a stringed instrument?,music store,rock band,school,concert,string quartet,3
B,b6fcbc289e3670e3d4954f8e45f55081,"[{'label': 'A', 'text': 'run away'}, {'label': 'B', 'text': 'get somewhere'}, {'label': 'C', 'text': 'accident'}, {'label': 'D', 'text': 'falling down'}, {'label': 'E', 'text': 'pleasure'}]","The man was riding bike very quickly, clearly he had to what?",run away,get somewhere,accident,falling down,pleasure,1
B,841b47f0264e5dd3c69b74f088253e3f,"[{'label': 'A', 'text': 'pharmacy'}, {'label': 'B', 'text': 'drugstore'}, {'label': 'C', 'text': 'bedroom'}, {'label': 'D', 'text': 'mcdonalds'}, {'label': 'E', 'text': 'person'}]",Where can someone purchase a contraceptive device without a prescription?,pharmacy,drugstore,bedroom,mcdonalds,person,1
B,62b17bf50472b209c3f0a5ebc08215d4,"[{'label': 'A', 'text': 'distraught'}, {'label': 'B', 'text': 'hurt'}, {'label': 'C', 'text': 'too many moms'}, {'label': 'D', 'text': 'got injured'}, {'label': 'E', 'text': 'acting'}]",Why was the baby crying?,distraught,hurt,too many moms,got injured,acting,1
C,3d0638de3f4ae49d9ef6505fd65660e0,"[{'label': 'A', 'text': 'excitement'}, {'label': 'B', 'text': 'anxiety'}, {'label': 'C', 'text': 'celebrate'}, {'label': 'D', 'text': 'build'}, {'label': 'E', 'text': 'laugh'}]","It was satisfying seeing idea become reality, after years of work he finally could what?",excitement,anxiety,celebrate,build,laugh,2
A,5ade28906cb358f8f3e83f5f22b5582e,"[{'label': 'A', 'text': 'cost money'}, {'label': 'B', 'text': 'slow down'}, {'label': 'C', 'text': 'go fast'}, {'label': 'D', 'text': 'move quickly'}, {'label': 'E', 'text': 'crash'}]",Why might someone avoid getting a new car?,cost money,slow down,go fast,move quickly,crash,0
D,ac831c0b237d1b282799a3fbd6ee65d5,"[{'label': 'A', 'text': 'eye'}, {'label': 'B', 'text': 'create pearl'}, {'label': 'C', 'text': 'bathing suit'}, {'label': 'D', 'text': 'sand pile'}, {'label': 'E', 'text': 'clam'}]",Many grains of sand together form what?,eye,create pearl,bathing suit,sand pile,clam,3
C,3148f4b8fccf181433f0c6ee05c6ef5c,"[{'label': 'A', 'text': 'socialize'}, {'label': 'B', 'text': 'fool'}, {'label': 'C', 'text': 'sleep at night'}, {'label': 'D', 'text': 'dance'}, {'label': 'E', 'text': 'eating'}]",Drinking alcohol can make me lose this?,socialize,fool,sleep at night,dance,eating,2
D,804cb5a41f1978ca48de39c491dad97c,"[{'label': 'A', 'text': 'office'}, {'label': 'B', 'text': 'hallway'}, {'label': 'C', 'text': 'table'}, {'label': 'D', 'text': 'exchange'}, {'label': 'E', 'text': 'building'}]",Traders work on the floor of the stock what?,office,hallway,table,exchange,building,3
E,c8e1b0e8daaed89e5027ee189af6c543,"[{'label': 'A', 'text': 'salt'}, {'label': 'B', 'text': 'shopping mall'}, {'label': 'C', 'text': 'nachos'}, {'label': 'D', 'text': 'old west'}, {'label': 'E', 'text': 'checkers'}]",What are you buying at the general store when you buy a box full of black and red chips?,salt,shopping mall,nachos,old west,checkers,4
C,58bbc2dda9101a1eb4603fc8995d6b0c,"[{'label': 'A', 'text': 'much work'}, {'label': 'B', 'text': 'trouble'}, {'label': 'C', 'text': 'detention'}, {'label': 'D', 'text': 'stupidity'}, {'label': 'E', 'text': 'boredom'}]","When attending school, if I misbehave, what could happen to me after school?",much work,trouble,detention,stupidity,boredom,2
B,f3f45d3e3ce9dc6bf098943ba4524298,"[{'label': 'A', 'text': 'new york'}, {'label': 'B', 'text': 'kansas'}, {'label': 'C', 'text': 'demopublican'}, {'label': 'D', 'text': 'nebraska'}, {'label': 'E', 'text': 'colorado'}]",What state is Pat Roberts the senator of?,new york,kansas,demopublican,nebraska,colorado,1
C,f0d0c66035cc25f5d4440f7d0f01fd8f,"[{'label': 'A', 'text': 'courtesy'}, {'label': 'B', 'text': 'further education'}, {'label': 'C', 'text': 'speak spanish'}, {'label': 'D', 'text': 'stand upright'}, {'label': 'E', 'text': 'cross street'}]","When I go to Spain, what should I try to practice first?",courtesy,further education,speak spanish,stand upright,cross street,2
D,2025b0caf2fa993fd9e77410d63ca3cc,"[{'label': 'A', 'text': 'have roots'}, {'label': 'B', 'text': 'cut off limbs'}, {'label': 'C', 'text': 'grow in garden'}, {'label': 'D', 'text': 'flower petals'}, {'label': 'E', 'text': 'bloom'}]",John loved plants because of how they look.  What part does John like best?,have roots,cut off limbs,grow in garden,flower petals,bloom,3
D,5a3f9cfb9c332f4593303a8a88300a43,"[{'label': 'A', 'text': 'fleas'}, {'label': 'B', 'text': 'found outside'}, {'label': 'C', 'text': 'anxious'}, {'label': 'D', 'text': 'frightening'}, {'label': 'E', 'text': 'faithful'}]",What do people feel when they see large guard dogs?,fleas,found outside,anxious,frightening,faithful,3
D,32a4e1d3aacf2c8b2dad3aaf29ba1054,"[{'label': 'A', 'text': 'headache'}, {'label': 'B', 'text': 'gain knowledge'}, {'label': 'C', 'text': 'advance'}, {'label': 'D', 'text': 'elation'}, {'label': 'E', 'text': 'form opinions'}]",How might someone feel if they spend time learning about a subject they're very passionate?,headache,gain knowledge,advance,elation,form opinions,3
A,59e8fce0c310219ec36dd3d839cff305,"[{'label': 'A', 'text': 'strength'}, {'label': 'B', 'text': 'mood'}, {'label': 'C', 'text': 'drive'}, {'label': 'D', 'text': 'energy'}, {'label': 'E', 'text': 'force'}]","They began moving car with their bare hands to save the child trapped underneath, nobody could explain where they got the what to do so?",strength,mood,drive,energy,force,0
C,b8ee75a196733de4757981152bd90d5c,"[{'label': 'A', 'text': 'illinois'}, {'label': 'B', 'text': 'basket'}, {'label': 'C', 'text': ""person's house""}, {'label': 'D', 'text': 'dog house'}, {'label': 'E', 'text': 'canada'}]",A small dog lived with a a woman who loved him. Where might he have lived?,illinois,basket,person's house,dog house,canada,2
B,2e22ef4af71a0b09d3b06b0373263046,"[{'label': 'A', 'text': 'nausea'}, {'label': 'B', 'text': 'intoxication'}, {'label': 'C', 'text': 'vomiting'}, {'label': 'D', 'text': 'toxicity'}, {'label': 'E', 'text': 'frequent urination'}]","The man had been drinking alcohol, when he caused a disturbance he was arrested for public what?",nausea,intoxication,vomiting,toxicity,frequent urination,1
A,bee939be3ede0044ccf9e1e19abf7a6f,"[{'label': 'A', 'text': 'thick forest'}, {'label': 'B', 'text': 'living room of a house'}, {'label': 'C', 'text': 'terrarium'}, {'label': 'D', 'text': 'tropical forest'}, {'label': 'E', 'text': 'kew gardens'}]",What would easily hide a snake?,thick forest,living room of a house,terrarium,tropical forest,kew gardens,0
E,85d2ff0fc5569fb154d90d265ab5ca15,"[{'label': 'A', 'text': 'library'}, {'label': 'B', 'text': 'health department'}, {'label': 'C', 'text': 'desk'}, {'label': 'D', 'text': 'bookstore'}, {'label': 'E', 'text': 'drawer'}]",Where might a person store pamphlets?,library,health department,desk,bookstore,drawer,4
C,7aa5182215c3dc9103f97b3ad3243457,"[{'label': 'A', 'text': 'have friends'}, {'label': 'B', 'text': 'with people'}, {'label': 'C', 'text': 'mix'}, {'label': 'D', 'text': 'meet people'}, {'label': 'E', 'text': 'see people'}]","When people social at a bar, the bartender will often do what to the cocktails they serve?",have friends,with people,mix,meet people,see people,2
E,547b59bd29f90bdba406cccba0eedabf,"[{'label': 'A', 'text': 'play chess'}, {'label': 'B', 'text': 'grocery shop'}, {'label': 'C', 'text': 'see art'}, {'label': 'D', 'text': 'give up'}, {'label': 'E', 'text': 'do crossword puzzle'}]","If I am suffering from boredom, and I want to do something with a dictionary, what would help?",play chess,grocery shop,see art,give up,do crossword puzzle,4
E,ea826d49cab0f09a0ab1b7dd039573c5,"[{'label': 'A', 'text': 'cheese shop'}, {'label': 'B', 'text': 'small case'}, {'label': 'C', 'text': 'chess game'}, {'label': 'D', 'text': 'game store'}, {'label': 'E', 'text': 'toy store'}]","If I wanted to buy a chess pawn, where would be a good place to look?",cheese shop,small case,chess game,game store,toy store,4
E,4317cfeba4112e72ab1efb7e824441c0,"[{'label': 'A', 'text': 'ridiculous'}, {'label': 'B', 'text': 'open sores'}, {'label': 'C', 'text': 'happiness'}, {'label': 'D', 'text': 'different'}, {'label': 'E', 'text': 'anxiety'}]",If a person has stage fright and is about to go on stage what will they experience?,ridiculous,open sores,happiness,different,anxiety,4
A,24eace5901a17656b30a93eb1a7b7c09,"[{'label': 'A', 'text': 'shopping bag'}, {'label': 'B', 'text': 'antique store'}, {'label': 'C', 'text': 'landfill'}, {'label': 'D', 'text': 'hardware store'}, {'label': 'E', 'text': 'shed'}]",Where would you put tin after you buy it?,shopping bag,antique store,landfill,hardware store,shed,0
C,77befd0818e1037d387f6e92341f84ef,"[{'label': 'A', 'text': 'wet'}, {'label': 'B', 'text': 'remorse'}, {'label': 'C', 'text': 'anguish'}, {'label': 'D', 'text': 'retaliation'}, {'label': 'E', 'text': 'terrible'}]","If a murderer killed people related to one's family, the family members would feel what when crying?",wet,remorse,anguish,retaliation,terrible,2
C,e7492d68729db4a1faddbf6014d240ca,"[{'label': 'A', 'text': 'work'}, {'label': 'B', 'text': 'new york'}, {'label': 'C', 'text': 'city'}, {'label': 'D', 'text': 'industrial complex'}, {'label': 'E', 'text': 'suburbia'}]",Where are you likely to see more than one office building?,work,new york,city,industrial complex,suburbia,2
C,46340199803da408b033a8a6e5ad6ffa,"[{'label': 'A', 'text': 'watching movie'}, {'label': 'B', 'text': 'give gifts'}, {'label': 'C', 'text': 'receive letters'}, {'label': 'D', 'text': 'feel embarrassed'}, {'label': 'E', 'text': 'cross street'}]",What does a person receive in jail from loved ones?,watching movie,give gifts,receive letters,feel embarrassed,cross street,2
C,a163c604a97a9e2a24e80ee2b688cd1a,"[{'label': 'A', 'text': 'aquarium'}, {'label': 'B', 'text': 'shopping mall'}, {'label': 'C', 'text': 'building'}, {'label': 'D', 'text': 'strip mall'}, {'label': 'E', 'text': 'large city'}]","An electronics store had things damaged from the rain, where should these things be stored?",aquarium,shopping mall,building,strip mall,large city,2
C,3f3866883691430bb3ee586683320415,"[{'label': 'A', 'text': 'shower'}, {'label': 'B', 'text': 'get cold'}, {'label': 'C', 'text': 'cool off'}, {'label': 'D', 'text': 'could'}, {'label': 'E', 'text': 'shrinking'}]",What might someone be trying to achieve by getting wet?,shower,get cold,cool off,could,shrinking,2
A,6d3f491b289350c7036846663c9869d4,"[{'label': 'A', 'text': 'pocket'}, {'label': 'B', 'text': 'purse'}, {'label': 'C', 'text': 'box'}, {'label': 'D', 'text': 'bag'}, {'label': 'E', 'text': 'blow nose'}]",Where in your pants would you keep a kleenex?,pocket,purse,box,bag,blow nose,0
C,2c33d0863ae765a238f35c6778a94df4,"[{'label': 'A', 'text': 'theatre'}, {'label': 'B', 'text': 'theater'}, {'label': 'C', 'text': 'apartment complex'}, {'label': 'D', 'text': 'new orleans'}, {'label': 'E', 'text': 'hotel'}]",Where  might someone find lots of homes with a balcony railing?,theatre,theater,apartment complex,new orleans,hotel,2
D,1d20698d2552d47005e645dd755fd4e7,"[{'label': 'A', 'text': 'dance program'}, {'label': 'B', 'text': 'conference'}, {'label': 'C', 'text': 'dining room'}, {'label': 'D', 'text': 'demonstration'}, {'label': 'E', 'text': 'furniture store'}]",What type of presentation might be set up on a table?,dance program,conference,dining room,demonstration,furniture store,3
C,b4ed771f69f00565f0da8f0cffd0b813,"[{'label': 'A', 'text': 'outside'}, {'label': 'B', 'text': 'fields'}, {'label': 'C', 'text': 'canada'}, {'label': 'D', 'text': 'spring'}, {'label': 'E', 'text': 'brazil'}]","In America, what is the nortern-most country where an apple tree can grow?",outside,fields,canada,spring,brazil,2
A,d3e4ac36d280d201374eae31a1276319,"[{'label': 'A', 'text': 'make wine'}, {'label': 'B', 'text': 'wear jeans'}, {'label': 'C', 'text': 'eat cake'}, {'label': 'D', 'text': 'catch cold'}, {'label': 'E', 'text': 'take bus'}]",Sally knows a person who works at a distillery.  He takes public transportation to his job every day. What is his job?,make wine,wear jeans,eat cake,catch cold,take bus,0
D,af8d56a75d07e239ad17973c505312b7,"[{'label': 'A', 'text': 'problems'}, {'label': 'B', 'text': 'panicking'}, {'label': 'C', 'text': 'writing down'}, {'label': 'D', 'text': 'phoning'}, {'label': 'E', 'text': 'being prepared'}]","Joe didn't remember to tell Marsha something important before she left home, so he spent an hour desperately doing what?",problems,panicking,writing down,phoning,being prepared,3
A,3d65de8e4603eebd6077b47a5d65dbee,"[{'label': 'A', 'text': 'school'}, {'label': 'B', 'text': 'computer store'}, {'label': 'C', 'text': 'house'}, {'label': 'D', 'text': 'internet cafe'}, {'label': 'E', 'text': 'office building'}]","Where can a computer user learn geography, math, or history?",school,computer store,house,internet cafe,office building,0
D,b9b6e165e0243f4b66d454db1b5d2e6d,"[{'label': 'A', 'text': 'agreeable'}, {'label': 'B', 'text': 'controvertible'}, {'label': 'C', 'text': 'easy'}, {'label': 'D', 'text': 'bearable'}, {'label': 'E', 'text': 'interesting'}]","If something is very hard but you just manage to be able to do it, it can be called what?",agreeable,controvertible,easy,bearable,interesting,3
B,60cf8d7ba1c2b049eb48f92715dc287e,"[{'label': 'A', 'text': 'passable'}, {'label': 'B', 'text': 'first rate'}, {'label': 'C', 'text': 'adequate'}, {'label': 'D', 'text': 'sufficient'}, {'label': 'E', 'text': 'sincere'}]",Despite numerous bad public reviews the expert found the product to be what?,passable,first rate,adequate,sufficient,sincere,1
A,4e7ea0d84b763bc052e28e54fd53fe6e,"[{'label': 'A', 'text': 'trenches'}, {'label': 'B', 'text': 'platoon'}, {'label': 'C', 'text': 'battlefield'}, {'label': 'D', 'text': 'tent'}, {'label': 'E', 'text': 'armored car'}]",Where is a soldier likely to fight from?,trenches,platoon,battlefield,tent,armored car,0
C,4ec262c0ae5d3532a93f5b3e90cbb388,"[{'label': 'A', 'text': 'make love'}, {'label': 'B', 'text': 'wait forever'}, {'label': 'C', 'text': 'fall in love'}, {'label': 'D', 'text': 'being dumped'}, {'label': 'E', 'text': 'distance themselves'}]",How does someone become a lover?,make love,wait forever,fall in love,being dumped,distance themselves,2
E,b0a8e7ed9557b632ee7aef8dd3e52fd8,"[{'label': 'A', 'text': 'annoyance'}, {'label': 'B', 'text': 'stress'}, {'label': 'C', 'text': 'hospitalized'}, {'label': 'D', 'text': 'schizophrenia'}, {'label': 'E', 'text': 'broken heart'}]","A person broke up with me, what do I have now?",annoyance,stress,hospitalized,schizophrenia,broken heart,4
D,0bdb2023af7ef29ec923a6e98154ecb2,"[{'label': 'A', 'text': 'get ideas'}, {'label': 'B', 'text': 'go to library'}, {'label': 'C', 'text': 'eat'}, {'label': 'D', 'text': 'do research'}, {'label': 'E', 'text': 'have knowledge'}]",In order to ensure accuracey when you write a term paper what must you do?,get ideas,go to library,eat,do research,have knowledge,3
B,b58417c580ffdfa500fa4b0a8345e488,"[{'label': 'A', 'text': 'cake'}, {'label': 'B', 'text': 'regular'}, {'label': 'C', 'text': 'weak'}, {'label': 'D', 'text': 'fragile'}, {'label': 'E', 'text': 'strongwoman'}]",A strong laxative will help you keep what kind of bowel movements?,cake,regular,weak,fragile,strongwoman,1
D,0523ddbdb32a29d80e09cf2ebed4c057,"[{'label': 'A', 'text': 'bluegrass music'}, {'label': 'B', 'text': 'make music'}, {'label': 'C', 'text': 'folk'}, {'label': 'D', 'text': 'drop'}, {'label': 'E', 'text': 'discovery'}]","If you're fiddling with a slippery object, what are you likely to do?",bluegrass music,make music,folk,drop,discovery,3
C,cac555980c7dcc9aa01d51d2c2198bab,"[{'label': 'A', 'text': 'australia'}, {'label': 'B', 'text': 'forrest'}, {'label': 'C', 'text': 'cage'}, {'label': 'D', 'text': 'hole'}, {'label': 'E', 'text': 'bank'}]",Where would a zoo keep a lemur?,australia,forrest,cage,hole,bank,2
C,5e80d7dbd70fdd9be3b1d089ad1274c0,"[{'label': 'A', 'text': 'make fun of'}, {'label': 'B', 'text': 'compete'}, {'label': 'C', 'text': 'win'}, {'label': 'D', 'text': 'total domination'}, {'label': 'E', 'text': 'best'}]",What do you want to do to conquer opponent?,make fun of,compete,win,total domination,best,2
B,e42a10ff3fb468ce7594e66279b4e213,"[{'label': 'A', 'text': 'will'}, {'label': 'B', 'text': 'weakness'}, {'label': 'C', 'text': 'wont'}, {'label': 'D', 'text': 'definitely'}, {'label': 'E', 'text': 'weak'}]","The boy had a lot of might, but he had something else, and the villain learned how to exploit his what?",will,weakness,wont,definitely,weak,1
C,42afe32f382b5c7fd940a144873dcadf,"[{'label': 'A', 'text': 'play games'}, {'label': 'B', 'text': 'better comprehension'}, {'label': 'C', 'text': 'study philosophy'}, {'label': 'D', 'text': 'study together'}, {'label': 'E', 'text': 'further education'}]",What should student do if they want to learn different ways of seeing the world?,play games,better comprehension,study philosophy,study together,further education,2
E,4dbeeb50a01a3b5c9c76d1052c4b14ea,"[{'label': 'A', 'text': 'die'}, {'label': 'B', 'text': 'going to jail'}, {'label': 'C', 'text': 'going to prison'}, {'label': 'D', 'text': 'beat him up'}, {'label': 'E', 'text': 'get arrested'}]","Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",die,going to jail,going to prison,beat him up,get arrested,4
C,20564946584e90eebe82a0e4678d0107,"[{'label': 'A', 'text': 'two eyes'}, {'label': 'B', 'text': 'lay eggs'}, {'label': 'C', 'text': 'ten fingers'}, {'label': 'D', 'text': 'video game'}, {'label': 'E', 'text': 'two arms'}]","Humans have a number of body parts that serve multiple functions.  Name something that they have an abundance of, and which serves a dual function.",two eyes,lay eggs,ten fingers,video game,two arms,2
E,8ff534619f084897399c81b64ea2d160,"[{'label': 'A', 'text': 'agreement'}, {'label': 'B', 'text': 'social approval'}, {'label': 'C', 'text': 'exchanging information'}, {'label': 'D', 'text': 'staring'}, {'label': 'E', 'text': 'will laugh'}]","They are chatting with friends about old memories, it won't be long before somebody what?",agreement,social approval,exchanging information,staring,will laugh,4
E,d5100a8e29cf848f10289b87d49f2af5,"[{'label': 'A', 'text': 'las vegas'}, {'label': 'B', 'text': 'town'}, {'label': 'C', 'text': 'metropolitan area'}, {'label': 'D', 'text': 'city'}, {'label': 'E', 'text': 'resort'}]","The vacation price included the hotel and meals, that's why he picked this particular what?",las vegas,town,metropolitan area,city,resort,4
C,4ef33f70cca1726fe7b9b31904d9694b,"[{'label': 'A', 'text': 'desk'}, {'label': 'B', 'text': 'living room'}, {'label': 'C', 'text': 'table'}, {'label': 'D', 'text': 'house'}, {'label': 'E', 'text': 'persia'}]","The mother was worried about all the spills, so she bought a rug for under the what?",desk,living room,table,house,persia,2
E,c3d49e99917bccba8f2f0bafff75a019,"[{'label': 'A', 'text': 'the moon'}, {'label': 'B', 'text': 'fridge'}, {'label': 'C', 'text': 'refrigerator'}, {'label': 'D', 'text': 'pizza'}, {'label': 'E', 'text': 'market'}]",Where is the best place to get cheese?,the moon,fridge,refrigerator,pizza,market,4
D,00d79d877f243bc761057a4f77bb2285,"[{'label': 'A', 'text': 'guest speaker'}, {'label': 'B', 'text': 'television station'}, {'label': 'C', 'text': 'radio station'}, {'label': 'D', 'text': 'microphone'}, {'label': 'E', 'text': 'large room'}]","The broadcast studio had a booth set up for interviews, the host sat down and adjusted his what so the audience could hear?",guest speaker,television station,radio station,microphone,large room,3
C,df4b62d880c889e539123f4e83589cad,"[{'label': 'A', 'text': 'in a palm tree'}, {'label': 'B', 'text': 'utah'}, {'label': 'C', 'text': 'cliff'}, {'label': 'D', 'text': 'colorado'}, {'label': 'E', 'text': 'captivity'}]",Where did the bald eagle make its nest so that it couldn't be reached after it escaped?,in a palm tree,utah,cliff,colorado,captivity,2
B,93e75cab2a93bb0504d558c336333ab9,"[{'label': 'A', 'text': 'air'}, {'label': 'B', 'text': 'tornado'}, {'label': 'C', 'text': 'weapon'}, {'label': 'D', 'text': 'canon'}, {'label': 'E', 'text': 'baseball'}]","The barn was torn to shreds and all the pieces of board became one projectile after another flying through the air, it was a powerful what?",air,tornado,weapon,canon,baseball,1
D,cdb10a509a23c76392482e1771a11d4e,"[{'label': 'A', 'text': 'fashion show'}, {'label': 'B', 'text': 'mountain'}, {'label': 'C', 'text': 'fieldhouse'}, {'label': 'D', 'text': 'construction site'}, {'label': 'E', 'text': 'theatre'}]","The catwalk was five stories up and exposed, everybody had to wear helmets and harnesses at the where?",fashion show,mountain,fieldhouse,construction site,theatre,3
A,6965341cc8fb734a8e7301800c301bd8,"[{'label': 'A', 'text': 'washington dc'}, {'label': 'B', 'text': 'state'}, {'label': 'C', 'text': 'public office'}, {'label': 'D', 'text': 'henhouse'}, {'label': 'E', 'text': 'out of doors'}]",Given people's opinion of congress what place might they give the mascot of a weasel to?,washington dc,state,public office,henhouse,out of doors,0
E,ef2797926b7a6653182da68983f28e2b,"[{'label': 'A', 'text': 'being full'}, {'label': 'B', 'text': 'food poisoning'}, {'label': 'C', 'text': 'gas'}, {'label': 'D', 'text': 'death'}, {'label': 'E', 'text': 'heartburn'}]",What burning  feeling is eating hamburger in large amunts likely to cause?,being full,food poisoning,gas,death,heartburn,4
A,0ac710beb48456b7ff5294748185fb3d,"[{'label': 'A', 'text': 'skill'}, {'label': 'B', 'text': 'sharking abilities'}, {'label': 'C', 'text': 'opponent'}, {'label': 'D', 'text': 'intelligence'}, {'label': 'E', 'text': 'thought'}]",Playing chess is like most things where practice helps to build your what at it?,skill,sharking abilities,opponent,intelligence,thought,0
D,587bdd8fd449cc518452f6b8d52b16e1,"[{'label': 'A', 'text': 'lumberyard'}, {'label': 'B', 'text': 'car'}, {'label': 'C', 'text': 'tree'}, {'label': 'D', 'text': 'boat'}, {'label': 'E', 'text': 'hardware store'}]",What old models are likely to be made of wood?,lumberyard,car,tree,boat,hardware store,3
C,1a65705fa93246bec8973c3ec5a4952a,"[{'label': 'A', 'text': 'farming community'}, {'label': 'B', 'text': 'michigan'}, {'label': 'C', 'text': 'rural area'}, {'label': 'D', 'text': 'housing farmer and family'}, {'label': 'E', 'text': ""cow's shed""}]","John lives in a farhouse well away from anyone. He doesn't farm himself, the farm shut down long ago.  How would you describe the area where he lives?",farming community,michigan,rural area,housing farmer and family,cow's shed,2
D,7177972aa7f64dc3d82055aa41cf10e8,"[{'label': 'A', 'text': 'hatred'}, {'label': 'B', 'text': 'funny'}, {'label': 'C', 'text': 'feel guilty'}, {'label': 'D', 'text': 'retribution'}, {'label': 'E', 'text': 'feel sorry for'}]",Dave felt that punishing John for making a mistake would be wrong.  It would not be just. It would only be what?,hatred,funny,feel guilty,retribution,feel sorry for,3
B,0534b5b38adf64048ecc817653c2fb36,"[{'label': 'A', 'text': 'meeting'}, {'label': 'B', 'text': 'online'}, {'label': 'C', 'text': 'books'}, {'label': 'D', 'text': 'internet'}, {'label': 'E', 'text': 'manual'}]","Nowadays, where to people find most of their information?",meeting,online,books,internet,manual,1
